"sintoma","categoria","principio_activo","nombre_comercial","presentacion","clasificacion_venta","contraindicaciones_clave","advertencia_seria","fuente"
"dolor de garganta leve","AINE oral","naproxeno","Dafloxen","suspensión oral; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a AINE o aspirina, úlcera o sangrado gastrointestinal, enfermedad renal grave, deshidratación importante, embarazo en tercer trimestre; en menores confirmar edad y peso del empaque","NO","PLM; COFEPRIS"
"dolor e inflamación por golpe menor","AINE oral","naproxeno sódico","Naproxeno sódico genérico","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a AINE o aspirina, úlcera o sangrado gastrointestinal, enfermedad renal grave, insuficiencia cardiaca grave, embarazo en tercer trimestre o uso simultáneo de otros AINE","NO","COFEPRIS; Cuadro Básico CSG"
"dolor de cabeza leve","AINE oral/analgésico-antipirético","ácido acetilsalicílico","Aspirina Bayer","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Menores o adolescentes con infección viral, alergia a aspirina o AINE, úlcera o sangrado, trastornos hemorrágicos, anticoagulantes, embarazo en tercer trimestre o asma inducida por aspirina","NO","PLM; COFEPRIS"
"dolor de cabeza con cansancio","analgésico combinado","ácido acetilsalicílico y cafeína","Cafiaspirina","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Menores o adolescentes con infección viral, úlcera o sangrado, anticoagulantes, alergia a aspirina, embarazo en tercer trimestre, sensibilidad a la cafeína o hipertensión no controlada","NO","PLM; COFEPRIS"
"dolor de cabeza o muscular leve","analgésico combinado","ácido acetilsalicílico, paracetamol y cafeína","Bio-Electro","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Menores o adolescentes con infección viral, enfermedad hepática grave, úlcera o sangrado, anticoagulantes, alergia a AINE, embarazo en tercer trimestre, sensibilidad a la cafeína o uso simultáneo de paracetamol","NO","PLM; COFEPRIS"
"dolor de pecho","AINE oral/antiagregante","ácido acetilsalicílico","Aspirina Bayer","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","No automedicarse ni retrasar atención inmediata; usar solo si lo indica un servicio de emergencias. Evitar con alergia a aspirina, sangrado activo, anticoagulantes o úlcera","SI","COFEPRIS; PLM"
"dolor de cuello o espalda localizado","AINE tópico","diclofenaco dietilamonio","Voltaren Emulgel","gel tópico; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a diclofenaco, aspirina u otros AINE, piel lesionada, heridas, ojos o mucosas, embarazo en tercer trimestre; no aplicar en áreas extensas sin orientación profesional","NO","PLM; COFEPRIS"
"dolor por esguince o contusión leve","AINE tópico","diclofenaco dietilamonio","Volfenac Gel","gel tópico; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a diclofenaco, aspirina u otros AINE, piel lesionada, heridas, ojos o mucosas, embarazo en tercer trimestre; no aplicar en áreas extensas sin orientación profesional","NO","PLM; COFEPRIS"
"dolor articular localizado","AINE tópico","diclofenaco","Diclofenaco gel genérico","gel tópico; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a diclofenaco, aspirina u otros AINE, piel lesionada, heridas, ojos o mucosas, embarazo en tercer trimestre; no combinar con otros AINE sin orientación profesional","NO","COFEPRIS; PLM"
"migraña habitual previamente diagnosticada","analgésico combinado","paracetamol y cafeína","Sedalmerck Max","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Enfermedad hepática grave, alergia al paracetamol, consumo excesivo de alcohol, uso simultáneo de otros productos con paracetamol, sensibilidad a la cafeína o hipertensión no controlada","NO","PLM; COFEPRIS"
"fiebre con rigidez de cuello, confusión o sarpullido","analgésico/antipirético","paracetamol","Tylenol Infantil","suspensión infantil; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","No usar para retrasar atención médica inmediata; además evitar en alergia al paracetamol, enfermedad hepática grave o duplicidad con otros productos con paracetamol","SI","PLM; COFEPRIS"
"dolor después de golpe en la cabeza con desmayo o confusión","analgésico/antipirético","paracetamol","Paracetamol genérico","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","No automedicarse ni retrasar atención inmediata; evitar en enfermedad hepática grave, alergia al paracetamol o uso simultáneo de otros productos con paracetamol","SI","COFEPRIS; Cuadro Básico CSG"
