"sintoma","categoria","principio_activo","nombre_comercial","presentacion","clasificacion_venta","contraindicaciones_clave","advertencia_seria","fuente"
"apoyo nutricional infantil durante temporada de resfriados","vitamina/suplemento","vitamina C, vitamina D y zinc","GNC Milestones Vitamina C y D más Zinc","gomitas infantiles; seguir instrucciones del empaque","Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta","No usar fuera de la edad indicada; enfermedad renal, hipercalcemia, cálculos renales, alergia a los componentes o duplicidad con otros multivitamínicos","NO","Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 "
"alimentación infantil poco variada con posible ingesta insuficiente de micronutrientes","vitamina/suplemento","vitaminas A, C, D, E, complejo B, zinc, calcio, hierro y manganeso","GNC Milestones Multivitamínico Infantil","tabletas masticables; seguir instrucciones del empaque","Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta","No usar fuera de la edad indicada; evitar combinar con otros multivitamínicos; precaución en enfermedad renal, hepática o trastornos de acumulación de hierro","NO","Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 "
"posible ingesta insuficiente de vitamina D y calcio","vitamina/suplemento","citrato de calcio, magnesio y vitamina D3","GNC Calcio con Magnesio y Vitamina D3","tabletas; seguir instrucciones del empaque","Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta","Hipercalcemia, enfermedad renal, cálculos renales, exceso de vitamina D o interacción con medicamentos tiroideos y ciertos antibióticos","NO","Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 "
"posible ingesta insuficiente de vitamina B12 acompañada de cansancio leve","vitamina/suplemento","vitaminas B1, B5, B6 y B12","L-Carnitina Complejo B 5H8","cápsulas; seguir instrucciones del empaque","Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta","La deficiencia de vitamina B12 debe confirmarse si es persistente; precaución en enfermedad renal, antecedentes de convulsiones o uso simultáneo de otros complejos B","NO","Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 "
"entumecimiento, debilidad marcada o problemas de equilibrio asociados con posible deficiencia de vitamina B12","vitamina/suplemento","vitaminas del complejo B","Coplefor Complejo B CMD","cápsulas; seguir instrucciones del empaque","Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta","No usar para retrasar estudios médicos; los síntomas neurológicos pueden requerir diagnóstico y tratamiento específico; evitar duplicidad de complejo B","SI","Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 "
"estrés leve o nerviosismo ocasional","herbolaria","toronjil, flor de azahar y raíz de valeriana","Pronuit Therbal","infusión en sobres; seguir instrucciones del empaque","Venta libre en México; remedio herbolario con clave ante COFEPRIS; no requiere receta; NOM-086-SSA1 aplica únicamente a información nutrimental cuando corresponda","Embarazo, lactancia, consumo de alcohol, uso de sedantes, conducción o actividades que requieran alerta; alergia a los componentes","NO","COFEPRIS; Farmacopea Herbolaria; fabricante "
"insomnio ocasional asociado con estrés leve","herbolaria","melisa, valeriana, lavanda, pasiflora, lúpulo, menta, hinojo, manzana y cáscara de naranja","Therbal Good Night","infusión de hoja entera; seguir instrucciones del empaque","Venta libre en México; infusión herbolaria; no requiere receta; etiquetado alimentario sujeto a NOM-051 y NOM-086-SSA1 cuando aplique","Embarazo, lactancia, alcohol, sedantes, alergia a los componentes o actividades que requieran estar alerta; evitar combinar con otros productos para dormir","NO","Fabricante; Farmacopea Herbolaria; NOM-086-SSA1 "
"insomnio ocasional y dificultad leve para relajarse","herbolaria","flor de tila","Therbal Flor de Tila","infusión en sobres; seguir instrucciones del empaque","Venta libre en México; infusión herbolaria; no requiere receta; etiquetado alimentario sujeto a NOM-051 y NOM-086-SSA1 cuando aplique","Embarazo, lactancia, alergia a la tila, uso de sedantes, consumo de alcohol o enfermedad cardiaca sin orientación profesional","NO","Fabricante; Farmacopea Herbolaria; NOM-086-SSA1 "
"estrés leve con malestar digestivo ocasional","herbolaria","flor de manzanilla","McCormick Té de Manzanilla","infusión en sobres; seguir instrucciones del empaque","Venta libre en México; infusión herbolaria o alimento preenvasado; no requiere receta; etiquetado sujeto a NOM-051 y NOM-086-SSA1 cuando aplique","Alergia a plantas de la familia Asteraceae, embarazo o lactancia sin orientación profesional o uso de anticoagulantes","NO","Fabricante; Farmacopea Herbolaria; NOM-086-SSA1 "
"insomnio crónico, despertares constantes o somnolencia diurna intensa","herbolaria","toronjil, flor de azahar y raíz de valeriana","Pronuit Therbal","infusión en sobres; seguir instrucciones del empaque","Venta libre en México; remedio herbolario con clave ante COFEPRIS; no requiere receta; NOM-086-SSA1 aplica únicamente cuando corresponda","No usar para retrasar valoración médica; evitar alcohol, sedantes, conducción, embarazo y lactancia sin orientación profesional","SI","COFEPRIS; Farmacopea Herbolaria; fabricante "
"resfriado común con irritación leve de garganta y tos","herbolaria","miel, propóleo, eucalipto, gordolobo y bugambilia","Therbal Jarabe VRJ Propóleo","jarabe herbolario; seguir instrucciones del empaque","Venta libre en México; remedio herbolario con clave ante COFEPRIS; no requiere receta; NOM-086-SSA1 aplica a información nutrimental cuando corresponda","Alergia a productos de abeja, asma sensible al propóleo, diabetes si contiene azúcares, embarazo o lactancia sin orientación profesional; no usar en menores fuera de la edad indicada","NO","COFEPRIS; Farmacopea Herbolaria; fabricante "
"resfriado con dificultad para respirar, fiebre alta prolongada o labios azulados","herbolaria","miel, propóleo, eucalipto, gordolobo y bugambilia","Therbal Jarabe VRJ Propóleo","jarabe herbolario; seguir instrucciones del empaque","Venta libre en México; remedio herbolario con clave ante COFEPRIS; no requiere receta; NOM-086-SSA1 aplica a información nutrimental cuando corresponda","No automedicarse ni retrasar atención médica inmediata; contraindicado en alergia a productos de abeja o reacción respiratoria al propóleo","SI","COFEPRIS; Farmacopea Herbolaria; fabricante "
"indigestión leve, gases o pesadez después de comer","herbolaria","menta, zacate limón, hinojo, verbena de limón, manzanilla, tomillo y aceite de menta","Therbal Digest","infusión de hoja entera; seguir instrucciones del empaque","Venta libre en México; infusión herbolaria; no requiere receta; etiquetado alimentario sujeto a NOM-051 y NOM-086-SSA1 cuando aplique","Reflujo que empeora con menta, alergia a los componentes, enfermedad biliar, embarazo o lactancia sin orientación profesional","NO","Fabricante; Farmacopea Herbolaria; NOM-086-SSA1 "
"náusea o digestión pesada ocasional","herbolaria","flor de manzanilla","McCormick Té de Manzanilla","infusión en sobres; seguir instrucciones del empaque","Venta libre en México; infusión herbolaria o alimento preenvasado; no requiere receta; etiquetado sujeto a NOM-051 y NOM-086-SSA1 cuando aplique","Alergia a plantas de la familia Asteraceae, uso de anticoagulantes, embarazo o lactancia sin orientación profesional","NO","Fabricante; Farmacopea Herbolaria; NOM-086-SSA1 "
"dolor abdominal intenso, vómito persistente, sangre en heces o abdomen rígido","herbolaria","menta, hinojo, manzanilla, tomillo y verbena de limón","Therbal Digest","infusión de hoja entera; seguir instrucciones del empaque","Venta libre en México; infusión herbolaria; no requiere receta; etiquetado alimentario sujeto a NOM-051 y NOM-086-SSA1 cuando aplique","No usar para retrasar atención médica inmediata; evitar en obstrucción digestiva sospechada, enfermedad biliar o alergia a los componentes","SI","Fabricante; Farmacopea Herbolaria; NOM-086-SSA1 "
