"sintoma","categoria","principio_activo","nombre_comercial","presentacion","clasificacion_venta","contraindicaciones_clave","advertencia_seria","fuente"
"agruras por comer en exceso","antiácido efervescente","bicarbonato de sodio, ácido cítrico y ácido tartárico","Sal de Uvas Picot","polvo efervescente en sobres; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Hipertensión no controlada, insuficiencia cardiaca o renal, dieta restringida en sodio, alcalosis, dolor abdominal intenso o uso excesivo","NO","Farmacia minorista nacional; etiquetado comercial; registro sanitario COFEPRIS "
"indigestión y pesadez después de una comida abundante","antiácido efervescente","bicarbonato de sodio, ácido cítrico y ácido tartárico","Sal de Uvas Picot","polvo efervescente; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Enfermedad renal, insuficiencia cardiaca, hipertensión, dieta baja en sodio, alcalosis o síntomas digestivos persistentes","NO","Farmacia minorista nacional; etiquetado comercial; registro sanitario COFEPRIS "
"hiperacidez con flatulencia","antiácido y antiflatulento","hidróxido de aluminio, hidróxido de magnesio y dimeticona","Espavén Alcalino","tabletas masticables; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Insuficiencia renal grave, obstrucción intestinal, dolor abdominal sin diagnóstico, hipersensibilidad o uso prolongado sin valoración médica","NO","PLM; registro sanitario COFEPRIS "
"malestar estomacal e indigestión","protector gastrointestinal y antidiarreico","subsalicilato de bismuto","Pepto-Bismol","suspensión oral; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a aspirina o salicilatos, anticoagulantes, úlcera sangrante, trastornos de coagulación, enfermedad renal grave o menores con enfermedad viral","NO","Fabricante México; PLM; registro sanitario COFEPRIS "
"náusea leve asociada con indigestión","protector gastrointestinal","subsalicilato de bismuto","Pepto-Bismol","comprimidos masticables; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a salicilatos, anticoagulantes, trastornos hemorrágicos, enfermedad renal grave, embarazo sin orientación profesional o menores con infección viral","NO","Fabricante México; PLM; registro sanitario COFEPRIS "
"diarrea aguda leve sin fiebre ni sangre","antidiarreico y protector gastrointestinal","subsalicilato de bismuto","Pepto-Bismol","suspensión oral; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a aspirina o salicilatos, anticoagulantes, úlcera sangrante, trastornos de coagulación, enfermedad renal grave o diarrea acompañada de fiebre alta","NO","Fabricante México; PLM; registro sanitario COFEPRIS "
"diarrea leve del viajero sin signos de alarma","antidiarreico y protector gastrointestinal","subsalicilato de bismuto","Pepto-Bismol","comprimidos masticables; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a salicilatos, anticoagulantes, sangrado gastrointestinal, enfermedad renal grave, fiebre alta, pus o sangre en las evacuaciones","NO","Fabricante México; PLM; registro sanitario COFEPRIS "
"diarrea leve con indigestión","antidiarreico y protector gastrointestinal","subsalicilato de bismuto","Itamol","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a aspirina o salicilatos, anticoagulantes, trastornos hemorrágicos, enfermedad renal grave, embarazo sin orientación médica o menores con infección viral","NO","PLM; registro sanitario COFEPRIS "
"acidez y náusea leve con malestar digestivo","protector gastrointestinal","subsalicilato de bismuto","Itamol","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Alergia a salicilatos, úlcera con sangrado, anticoagulantes, enfermedad renal grave, trastornos de coagulación o menores con enfermedad viral","NO","PLM; registro sanitario COFEPRIS "
"náusea leve asociada al movimiento","antiemético y antihistamínico","dimenhidrinato","Dramamine","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Glaucoma de ángulo cerrado, retención urinaria, hipertrofia prostática, alcohol, sedantes, actividades que requieran alerta o alergia al dimenhidrinato; causa somnolencia","NO","Fabricante México; PLM; registro sanitario SSA VI/COFEPRIS "
"náusea infantil asociada al movimiento","antiemético y antihistamínico","dimenhidrinato","Dramamine Jarabe","jarabe; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","No usar fuera de la edad indicada en el empaque, alergia al dimenhidrinato, glaucoma, retención urinaria, alcohol o medicamentos sedantes; puede causar somnolencia","NO","Fabricante México; PLM; registro sanitario SSA VI/COFEPRIS "
"mareo y náusea leve por viaje","antiemético y antihistamínico","dimenhidrinato","Dimicaps","cápsulas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Glaucoma, retención urinaria, hipertrofia prostática, alergia al dimenhidrinato, consumo de alcohol o sedantes; evitar conducir por somnolencia","NO","PLM; registro sanitario COFEPRIS "
"estreñimiento ocasional","laxante estimulante vegetal","senósidos A y B","Senokot Regular","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Obstrucción intestinal, apendicitis, enfermedad inflamatoria intestinal activa, dolor abdominal sin diagnóstico, náusea, vómito o deshidratación","NO","Farmacia minorista mexicana; categoría OTC; etiquetado comercial "
"estreñimiento ocasional que no mejora con cambios de dieta","laxante estimulante vegetal","senósidos A y B","Senokot Forte","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Obstrucción intestinal, dolor abdominal intenso, apendicitis, enfermedad inflamatoria intestinal activa, deshidratación o uso prolongado sin supervisión","NO","Farmacia minorista mexicana; categoría OTC; etiquetado comercial "
"estreñimiento por cambios de alimentación o rutina","laxante estimulante vegetal","Cassia angustifolia","Ciruelax","comprimidos; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Obstrucción intestinal, apendicitis, dolor abdominal sin diagnóstico, enfermedad inflamatoria intestinal, deshidratación o uso frecuente y prolongado","NO","PLM; registro sanitario COFEPRIS "
"estreñimiento ocasional con heces duras","laxante osmótico salino","hidróxido de magnesio","Phillips Leche de Magnesia","suspensión oral; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Insuficiencia renal, obstrucción o impactación intestinal, síndrome de abdomen agudo, diarrea, colitis ulcerosa activa o hipersensibilidad","NO","PLM; registro sanitario COFEPRIS "
"estreñimiento asociado con baja ingesta de fibra","laxante formador de masa","Plantago psyllium","Fibromucil","polvo para solución oral; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Obstrucción o impactación intestinal, dificultad para tragar, dolor abdominal, náusea, vómito o consumo sin suficiente líquido","NO","PLM; registro sanitario COFEPRIS "
"estreñimiento con evacuaciones poco frecuentes","laxante formador de masa","Plantago psyllium","Mugasin","polvo para solución oral; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Obstrucción intestinal, impactación fecal, estenosis, dificultad para tragar, sangrado rectal sin diagnóstico, dolor abdominal, náusea o vómito","NO","PLM; registro sanitario COFEPRIS "
"estreñimiento ocasional durante viajes o cambios de rutina","laxante formador de masa","cáscara de Plantago ovata o psyllium","Novagon","polvo para solución oral; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Obstrucción intestinal, impactación fecal, apendicitis, dolor abdominal agudo, sangrado rectal no diagnosticado, náusea, vómito o ingesta insuficiente de agua","NO","PLM; registro sanitario COFEPRIS "
"flatulencia y distensión abdominal","antiflatulento","dimeticona y pantotenato de calcio","Espavén","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Hipersensibilidad a los componentes, sospecha de obstrucción intestinal, dolor abdominal intenso o distensión persistente sin diagnóstico","NO","PLM; registro sanitario COFEPRIS "
"gases y cólico leve en población pediátrica","antiflatulento","dimeticona","Espavén Pediátrico","gotas orales; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Hipersensibilidad a los componentes; no usar para retrasar valoración pediátrica si hay vómito persistente, fiebre, abdomen muy distendido o rechazo de alimentos","NO","PLM; registro sanitario COFEPRIS "
"gases e indigestión después de comidas abundantes","digestivo enzimático y antiflatulento","pancreatina, dimeticona, extracto de bilis bovina y celulasa","Espavén Enzimático","tabletas o grageas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","Obstrucción de vías biliares, hepatitis aguda grave, perforación intestinal, hipersensibilidad, embarazo temprano o lactancia sin orientación profesional","NO","PLM; registro sanitario COFEPRIS "
"diarrea con sangre en las heces o evacuaciones negras inexplicables","antidiarreico y protector gastrointestinal","subsalicilato de bismuto","Pepto-Bismol","suspensión oral; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","No automedicarse ni usar para retrasar atención inmediata; contraindicado con sangrado gastrointestinal, anticoagulantes, alergia a salicilatos o trastornos de coagulación","SI","Fabricante México; PLM; registro sanitario COFEPRIS "
"diarrea con deshidratación severa, desmayo, confusión o muy poca orina","antidiarreico y protector gastrointestinal","subsalicilato de bismuto","Pepto-Bismol","comprimidos masticables; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","No automedicarse ni retrasar atención médica inmediata; la prioridad es valoración urgente y reposición profesional de líquidos y electrolitos","SI","Fabricante México; PLM; registro sanitario COFEPRIS "
"estreñimiento acompañado de dolor abdominal intenso, abdomen rígido o vómito","laxante osmótico salino","hidróxido de magnesio","Phillips Leche de Magnesia","suspensión oral; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","No usar laxantes ni retrasar atención médica inmediata; puede existir obstrucción, apendicitis u otra causa de abdomen agudo","SI","PLM; registro sanitario COFEPRIS "
"acidez con dolor u opresión en el pecho, falta de aire, sudor frío o dolor hacia el brazo","barrera antirreflujo y antiácido","alginato de sodio, bicarbonato de sodio y carbonato de calcio","Gaviscon Suspensión","suspensión oral; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","No automedicarse ni asumir que es reflujo; estos síntomas pueden indicar un problema cardiaco y requieren atención médica inmediata","SI","PLM; registro sanitario COFEPRIS; fabricante "
"náusea con vómito de sangre, material oscuro o dolor abdominal intenso","antiemético y antihistamínico","dimenhidrinato","Dramamine","tabletas; seguir instrucciones del empaque","Libre venta en México (OTC; no requiere receta)","No usar para ocultar síntomas ni retrasar atención inmediata; puede existir hemorragia gastrointestinal, obstrucción u otra enfermedad grave","SI","Fabricante México; PLM; registro sanitario SSA VI/COFEPRIS "
