grupo,categoria_normalizada,sintoma,categoria,principio_activo,nombre_comercial,presentacion,clasificacion_venta,contraindicaciones_clave,advertencia_seria,fuente
dolor_fiebre_inflamacion,aine_oral,dolor dental con inflamación,AINE oral,naproxeno sódico,Naproxeno sódico genérico,tabletas; seguir instrucciones del empaque,Libre venta en México (OTC; no requiere receta),"Alergia a AINE o aspirina, úlcera o sangrado gastrointestinal, enfermedad renal grave, insuficiencia cardiaca grave, embarazo en tercer trimestre o uso simultáneo de otros AINE",NO,COFEPRIS; Cuadro Básico CSG
dolor_fiebre_inflamacion,aine_oral,dolor de garganta leve,AINE oral,naproxeno,Dafloxen,suspensión oral; seguir instrucciones del empaque,Libre venta en México (OTC; no requiere receta),"Alergia a AINE o aspirina, úlcera o sangrado gastrointestinal, enfermedad renal grave, deshidratación importante, embarazo en tercer trimestre; en menores confirmar edad y peso del empaque",NO,PLM; COFEPRIS
dolor_fiebre_inflamacion,aine_oral,dolor e inflamación por golpe menor,AINE oral,naproxeno sódico,Naproxeno sódico genérico,tabletas; seguir instrucciones del empaque,Libre venta en México (OTC; no requiere receta),"Alergia a AINE o aspirina, úlcera o sangrado gastrointestinal, enfermedad renal grave, insuficiencia cardiaca grave, embarazo en tercer trimestre o uso simultáneo de otros AINE",NO,COFEPRIS; Cuadro Básico CSG
dolor_fiebre_inflamacion,aine_oral,dolor de cabeza leve,AINE oral/analgésico-antipirético,ácido acetilsalicílico,Aspirina Bayer,tabletas; seguir instrucciones del empaque,Libre venta en México (OTC; no requiere receta),"Menores o adolescentes con infección viral, alergia a aspirina o AINE, úlcera o sangrado, trastornos hemorrágicos, anticoagulantes, embarazo en tercer trimestre o asma inducida por aspirina",NO,PLM; COFEPRIS
dolor_fiebre_inflamacion,analgesico_combinado,dolor de cabeza con cansancio,analgésico combinado,ácido acetilsalicílico y cafeína,Cafiaspirina,tabletas; seguir instrucciones del empaque,Libre venta en México (OTC; no requiere receta),"Menores o adolescentes con infección viral, úlcera o sangrado, anticoagulantes, alergia a aspirina, embarazo en tercer trimestre, sensibilidad a la cafeína o hipertensión no controlada",NO,PLM; COFEPRIS
dolor_fiebre_inflamacion,analgesico_combinado,dolor de cabeza o muscular leve,analgésico combinado,"ácido acetilsalicílico, paracetamol y cafeína",Bio-Electro,tabletas; seguir instrucciones del empaque,Libre venta en México (OTC; no requiere receta),"Menores o adolescentes con infección viral, enfermedad hepática grave, úlcera o sangrado, anticoagulantes, alergia a AINE, embarazo en tercer trimestre, sensibilidad a la cafeína o uso simultáneo de paracetamol",NO,PLM; COFEPRIS
dolor_fiebre_inflamacion,aine_oral,dolor de pecho,AINE oral/antiagregante,ácido acetilsalicílico,Aspirina Bayer,tabletas; seguir instrucciones del empaque,Libre venta en México (OTC; no requiere receta),"No automedicarse ni retrasar atención inmediata; usar solo si lo indica un servicio de emergencias. Evitar con alergia a aspirina, sangrado activo, anticoagulantes o úlcera",SI,COFEPRIS; PLM
dolor_fiebre_inflamacion,aine_topico,dolor de cuello o espalda localizado,AINE tópico,diclofenaco dietilamonio,Voltaren Emulgel,gel tópico; seguir instrucciones del empaque,Libre venta en México (OTC; no requiere receta),"Alergia a diclofenaco, aspirina u otros AINE, piel lesionada, heridas, ojos o mucosas, embarazo en tercer trimestre; no aplicar en áreas extensas sin orientación profesional",NO,PLM; COFEPRIS
dolor_fiebre_inflamacion,aine_topico,dolor por esguince o contusión leve,AINE tópico,diclofenaco dietilamonio,Volfenac Gel,gel tópico; seguir instrucciones del empaque,Libre venta en México (OTC; no requiere receta),"Alergia a diclofenaco, aspirina u otros AINE, piel lesionada, heridas, ojos o mucosas, embarazo en tercer trimestre; no aplicar en áreas extensas sin orientación profesional",NO,PLM; COFEPRIS
dolor_fiebre_inflamacion,aine_topico,dolor articular localizado,AINE tópico,diclofenaco,Diclofenaco gel genérico,gel tópico; seguir instrucciones del empaque,Libre venta en México (OTC; no requiere receta),"Alergia a diclofenaco, aspirina u otros AINE, piel lesionada, heridas, ojos o mucosas, embarazo en tercer trimestre; no combinar con otros AINE sin orientación profesional",NO,COFEPRIS; PLM
dolor_fiebre_inflamacion,analgesico_combinado,migraña habitual previamente diagnosticada,analgésico combinado,paracetamol y cafeína,Sedalmerck Max,tabletas; seguir instrucciones del empaque,Libre venta en México (OTC; no requiere receta),"Enfermedad hepática grave, alergia al paracetamol, consumo excesivo de alcohol, uso simultáneo de otros productos con paracetamol, sensibilidad a la cafeína o hipertensión no controlada",NO,PLM; COFEPRIS
dolor_fiebre_inflamacion,analgesico_antipiretico,"fiebre con rigidez de cuello, confusión o sarpullido",analgésico/antipirético,paracetamol,Tylenol Infantil,suspensión infantil; seguir instrucciones del empaque,Libre venta en México (OTC; no requiere receta),"No usar para retrasar atención médica inmediata; además evitar en alergia al paracetamol, enfermedad hepática grave o duplicidad con otros productos con paracetamol",SI,PLM; COFEPRIS
dolor_fiebre_inflamacion,analgesico_antipiretico,dolor después de golpe en la cabeza con desmayo o confusión,analgésico/antipirético,paracetamol,Paracetamol genérico,tabletas; seguir instrucciones del empaque,Libre venta en México (OTC; no requiere receta),"No automedicarse ni retrasar atención inmediata; evitar en enfermedad hepática grave, alergia al paracetamol o uso simultáneo de otros productos con paracetamol",SI,COFEPRIS; Cuadro Básico CSG
herbolaria_vitaminas,vitamina_suplemento,fatiga o cansancio ocasional asociado con alimentación insuficiente,vitamina/suplemento,"vitamina C, vitamina D y zinc",Redoxon AOX Triple Acción,tabletas efervescentes; seguir instrucciones del empaque,Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta,"Enfermedad renal, hipercalcemia, antecedentes de cálculos renales, exceso de vitamina D o uso simultáneo de otros suplementos con los mismos componentes",NO,Fabricante; COFEPRIS; NOM-086-SSA1 
herbolaria_vitaminas,vitamina_suplemento,cansancio leve asociado con ingesta insuficiente de vitaminas del complejo B,vitamina/suplemento,vitaminas del complejo B,Coplefor Complejo B CMD,cápsulas; seguir instrucciones del empaque,Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta,"Alergia a los componentes, enfermedad hepática o renal, embarazo o lactancia sin orientación profesional; evitar duplicar vitaminas del complejo B",NO,Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 
herbolaria_vitaminas,vitamina_suplemento,fatiga leve durante periodos de actividad física o mental,vitamina/suplemento,"vitaminas del complejo B, moringa, inositol y magnesio",Greenside Complejo B,tabletas; seguir instrucciones del empaque,Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta,"Enfermedad renal, alergia a los componentes, embarazo o lactancia sin orientación profesional; precaución con medicamentos que afecten el magnesio",NO,Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 
herbolaria_vitaminas,vitamina_suplemento,cansancio leve asociado con actividad física,vitamina/suplemento,"L-carnitina y vitaminas B1, B5, B6 y B12",L-Carnitina Complejo B 5H8,cápsulas; seguir instrucciones del empaque,Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta,"Alergia a los componentes, enfermedad renal, antecedentes de convulsiones, embarazo o lactancia sin orientación profesional",NO,Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 
herbolaria_vitaminas,vitamina_suplemento,fatiga relacionada con posible deficiencia de hierro confirmada,vitamina/suplemento,hierro,Hierro GNC,cápsulas; seguir instrucciones del empaque,Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta,"Hemocromatosis, anemia no causada por falta de hierro, enfermedad hepática, úlcera gastrointestinal o uso sin análisis que confirme deficiencia; mantener fuera del alcance infantil",NO,Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 
herbolaria_vitaminas,vitamina_suplemento,"fatiga extrema persistente, palidez, desmayo o falta de aire",vitamina/suplemento,hierro,Hierro GNC,cápsulas; seguir instrucciones del empaque,Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta,"No automedicarse ni retrasar valoración médica; contraindicado en sobrecarga de hierro, anemia de causa desconocida o enfermedad hepática grave",SI,Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 
herbolaria_vitaminas,vitamina_suplemento,ingesta insuficiente de vitamina C,vitamina/suplemento,ácido ascórbico o vitamina C,Vitamina C GNC Frutas Mixtas,tabletas masticables; seguir instrucciones del empaque,Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta,"Enfermedad renal, antecedentes de cálculos renales, hemocromatosis o uso simultáneo de otros suplementos con vitamina C",NO,Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 
herbolaria_vitaminas,vitamina_suplemento,ingesta insuficiente de vitamina C con dificultad para tragar tabletas,vitamina/suplemento,ácido ascórbico o vitamina C,Nordic Naturals Vitamina C,gomitas; seguir instrucciones del empaque,Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta,"Enfermedad renal, cálculos renales, hemocromatosis, diabetes si contiene azúcares o alergia a los componentes",NO,Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 
herbolaria_vitaminas,vitamina_suplemento,resfriado común como complemento nutricional,vitamina/suplemento,ácido ascórbico o vitamina C,Redoxon Vitamina C,tabletas efervescentes; seguir instrucciones del empaque,Venta libre en México; complemento o suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta,"Enfermedad renal, cálculos renales, hemocromatosis, restricción de sodio o uso simultáneo de otros productos con vitamina C",NO,Fabricante; COFEPRIS; NOM-086-SSA1 
herbolaria_vitaminas,vitamina_suplemento,resfriado común infantil como complemento nutricional,vitamina/suplemento,ácido ascórbico o vitamina C,Redoxon Infantil,tabletas masticables; seguir instrucciones del empaque,Venta libre en México; complemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta,"No usar fuera de la edad indicada en el empaque; enfermedad renal, cálculos renales, hemocromatosis o duplicidad con otros suplementos de vitamina C",NO,Fabricante; COFEPRIS; NOM-086-SSA1 
herbolaria_vitaminas,vitamina_suplemento,apoyo nutricional infantil durante temporada de resfriados,vitamina/suplemento,"vitamina C, vitamina D y zinc",GNC Milestones Vitamina C y D más Zinc,gomitas infantiles; seguir instrucciones del empaque,Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta,"No usar fuera de la edad indicada; enfermedad renal, hipercalcemia, cálculos renales, alergia a los componentes o duplicidad con otros multivitamínicos",NO,Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 
herbolaria_vitaminas,vitamina_suplemento,alimentación infantil poco variada con posible ingesta insuficiente de micronutrientes,vitamina/suplemento,"vitaminas A, C, D, E, complejo B, zinc, calcio, hierro y manganeso",GNC Milestones Multivitamínico Infantil,tabletas masticables; seguir instrucciones del empaque,Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta,"No usar fuera de la edad indicada; evitar combinar con otros multivitamínicos; precaución en enfermedad renal, hepática o trastornos de acumulación de hierro",NO,Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 
herbolaria_vitaminas,vitamina_suplemento,posible ingesta insuficiente de vitamina D y calcio,vitamina/suplemento,"citrato de calcio, magnesio y vitamina D3",GNC Calcio con Magnesio y Vitamina D3,tabletas; seguir instrucciones del empaque,Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta,"Hipercalcemia, enfermedad renal, cálculos renales, exceso de vitamina D o interacción con medicamentos tiroideos y ciertos antibióticos",NO,Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 
herbolaria_vitaminas,vitamina_suplemento,posible ingesta insuficiente de vitamina B12 acompañada de cansancio leve,vitamina/suplemento,"vitaminas B1, B5, B6 y B12",L-Carnitina Complejo B 5H8,cápsulas; seguir instrucciones del empaque,Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta,"La deficiencia de vitamina B12 debe confirmarse si es persistente; precaución en enfermedad renal, antecedentes de convulsiones o uso simultáneo de otros complejos B",NO,Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 
herbolaria_vitaminas,vitamina_suplemento,"entumecimiento, debilidad marcada o problemas de equilibrio asociados con posible deficiencia de vitamina B12",vitamina/suplemento,vitaminas del complejo B,Coplefor Complejo B CMD,cápsulas; seguir instrucciones del empaque,Venta libre en México; suplemento alimenticio; etiquetado nutrimental sujeto a NOM-086-SSA1 cuando aplique; no requiere receta,No usar para retrasar estudios médicos; los síntomas neurológicos pueden requerir diagnóstico y tratamiento específico; evitar duplicidad de complejo B,SI,Fabricante y distribuidor autorizado; COFEPRIS; NOM-086-SSA1 
herbolaria_vitaminas,herbolaria,estrés leve o nerviosismo ocasional,herbolaria,"toronjil, flor de azahar y raíz de valeriana",Pronuit Therbal,infusión en sobres; seguir instrucciones del empaque,Venta libre en México; remedio herbolario con clave ante COFEPRIS; no requiere receta; NOM-086-SSA1 aplica únicamente a información nutrimental cuando corresponda,"Embarazo, lactancia, consumo de alcohol, uso de sedantes, conducción o actividades que requieran alerta; alergia a los componentes",NO,COFEPRIS; Farmacopea Herbolaria; fabricante 
herbolaria_vitaminas,herbolaria,insomnio ocasional asociado con estrés leve,herbolaria,"melisa, valeriana, lavanda, pasiflora, lúpulo, menta, hinojo, manzana y cáscara de naranja",Therbal Good Night,infusión de hoja entera; seguir instrucciones del empaque,Venta libre en México; infusión herbolaria; no requiere receta; etiquetado alimentario sujeto a NOM-051 y NOM-086-SSA1 cuando aplique,"Embarazo, lactancia, alcohol, sedantes, alergia a los componentes o actividades que requieran estar alerta; evitar combinar con otros productos para dormir",NO,Fabricante; Farmacopea Herbolaria; NOM-086-SSA1 
herbolaria_vitaminas,herbolaria,insomnio ocasional y dificultad leve para relajarse,herbolaria,flor de tila,Therbal Flor de Tila,infusión en sobres; seguir instrucciones del empaque,Venta libre en México; infusión herbolaria; no requiere receta; etiquetado alimentario sujeto a NOM-051 y NOM-086-SSA1 cuando aplique,"Embarazo, lactancia, alergia a la tila, uso de sedantes, consumo de alcohol o enfermedad cardiaca sin orientación profesional",NO,Fabricante; Farmacopea Herbolaria; NOM-086-SSA1 
herbolaria_vitaminas,herbolaria,estrés leve con malestar digestivo ocasional,herbolaria,flor de manzanilla,McCormick Té de Manzanilla,infusión en sobres; seguir instrucciones del empaque,Venta libre en México; infusión herbolaria o alimento preenvasado; no requiere receta; etiquetado sujeto a NOM-051 y NOM-086-SSA1 cuando aplique,"Alergia a plantas de la familia Asteraceae, embarazo o lactancia sin orientación profesional o uso de anticoagulantes",NO,Fabricante; Farmacopea Herbolaria; NOM-086-SSA1 
herbolaria_vitaminas,herbolaria,"insomnio crónico, despertares constantes o somnolencia diurna intensa",herbolaria,"toronjil, flor de azahar y raíz de valeriana",Pronuit Therbal,infusión en sobres; seguir instrucciones del empaque,Venta libre en México; remedio herbolario con clave ante COFEPRIS; no requiere receta; NOM-086-SSA1 aplica únicamente cuando corresponda,"No usar para retrasar valoración médica; evitar alcohol, sedantes, conducción, embarazo y lactancia sin orientación profesional",SI,COFEPRIS; Farmacopea Herbolaria; fabricante 
herbolaria_vitaminas,herbolaria,resfriado común con irritación leve de garganta y tos,herbolaria,"miel, propóleo, eucalipto, gordolobo y bugambilia",Therbal Jarabe VRJ Propóleo,jarabe herbolario; seguir instrucciones del empaque,Venta libre en México; remedio herbolario con clave ante COFEPRIS; no requiere receta; NOM-086-SSA1 aplica a información nutrimental cuando corresponda,"Alergia a productos de abeja, asma sensible al propóleo, diabetes si contiene azúcares, embarazo o lactancia sin orientación profesional; no usar en menores fuera de la edad indicada",NO,COFEPRIS; Farmacopea Herbolaria; fabricante 
herbolaria_vitaminas,herbolaria,"resfriado con dificultad para respirar, fiebre alta prolongada o labios azulados",herbolaria,"miel, propóleo, eucalipto, gordolobo y bugambilia",Therbal Jarabe VRJ Propóleo,jarabe herbolario; seguir instrucciones del empaque,Venta libre en México; remedio herbolario con clave ante COFEPRIS; no requiere receta; NOM-086-SSA1 aplica a información nutrimental cuando corresponda,No automedicarse ni retrasar atención médica inmediata; contraindicado en alergia a productos de abeja o reacción respiratoria al propóleo,SI,COFEPRIS; Farmacopea Herbolaria; fabricante 
herbolaria_vitaminas,herbolaria,"indigestión leve, gases o pesadez después de comer",herbolaria,"menta, zacate limón, hinojo, verbena de limón, manzanilla, tomillo y aceite de menta",Therbal Digest,infusión de hoja entera; seguir instrucciones del empaque,Venta libre en México; infusión herbolaria; no requiere receta; etiquetado alimentario sujeto a NOM-051 y NOM-086-SSA1 cuando aplique,"Reflujo que empeora con menta, alergia a los componentes, enfermedad biliar, embarazo o lactancia sin orientación profesional",NO,Fabricante; Farmacopea Herbolaria; NOM-086-SSA1 
herbolaria_vitaminas,herbolaria,náusea o digestión pesada ocasional,herbolaria,flor de manzanilla,McCormick Té de Manzanilla,infusión en sobres; seguir instrucciones del empaque,Venta libre en México; infusión herbolaria o alimento preenvasado; no requiere receta; etiquetado sujeto a NOM-051 y NOM-086-SSA1 cuando aplique,"Alergia a plantas de la familia Asteraceae, uso de anticoagulantes, embarazo o lactancia sin orientación profesional",NO,Fabricante; Farmacopea Herbolaria; NOM-086-SSA1 
herbolaria_vitaminas,herbolaria,"dolor abdominal intenso, vómito persistente, sangre en heces o abdomen rígido",herbolaria,"menta, hinojo, manzanilla, tomillo y verbena de limón",Therbal Digest,infusión de hoja entera; seguir instrucciones del empaque,Venta libre en México; infusión herbolaria; no requiere receta; etiquetado alimentario sujeto a NOM-051 y NOM-086-SSA1 cuando aplique,"No usar para retrasar atención médica inmediata; evitar en obstrucción digestiva sospechada, enfermedad biliar o alergia a los componentes",SI,Fabricante; Farmacopea Herbolaria; NOM-086-SSA1 
dermatologico_topico,dermatologico_topico,quemadura solar leve con enrojecimiento y comezón,antipruriginoso y protector cutáneo,calamina,Loción de Caladryl,loción tópica; seguir instrucciones del empaque,Libre venta en México (OTC; registro SSA VI; no requiere receta),"Hipersensibilidad a los componentes, lesiones infectadas, ojos o mucosas; suspender si empeora o persiste",NO,"PLM; registro sanitario SSA VI; Ley General de Salud, artículo 226, fracción VI "
dermatologico_topico,dermatologico_topico,picadura de mosquito con comezón leve,antipruriginoso y protector cutáneo,calamina,Loción de Caladryl,loción tópica; seguir instrucciones del empaque,Libre venta en México (OTC; registro SSA VI; no requiere receta),"Hipersensibilidad a los componentes, lesiones infectadas, ojos o mucosas; no usar por periodos prolongados sin valoración",NO,"PLM; registro sanitario SSA VI; Ley General de Salud, artículo 226, fracción VI "
dermatologico_topico,dermatologico_topico,comezón por irritación o dermatitis de contacto leve,antipruriginoso y protector cutáneo,calamina,Loción de Caladryl,suspensión tópica; seguir instrucciones del empaque,Libre venta en México (OTC; registro SSA VI; no requiere receta),"Hipersensibilidad a los componentes, piel infectada, heridas profundas, ojos o mucosas; consultar si las molestias reaparecen",NO,"PLM; registro sanitario SSA VI; Ley General de Salud, artículo 226, fracción VI "
