"sintoma","categoria","principio_activo","nombre_comercial","presentacion","clasificacion_venta","contraindicaciones_clave","advertencia_seria","fuente"
"quemadura extensa, profunda, con ampollas generalizadas o en cara y genitales","regenerador epitelial y protector cutáneo","dexpantenol","Bepanthen Pomada Regeneradora","pomada tópica; seguir instrucciones del empaque","Venta libre en México (producto para cuidado y regeneración de la piel; no requiere receta)","No usar para retrasar atención médica inmediata; las quemaduras extensas o profundas requieren valoración profesional","SI","Fabricante Bayer México; registro sanitario y farmacovigilancia COFEPRIS "
"cortadura superficial que requiere limpieza antiséptica","antiséptico tópico","solución de superoxidación","Microdacyn Solución","solución en atomizador; seguir instrucciones del empaque","Venta libre en México (antiséptico con registro sanitario SSA; no requiere receta)","Hipersensibilidad al producto; evitar ingestión y uso ocular; las heridas profundas deben ser valoradas por personal de salud","NO","Fabricante Microdacyn México; registro sanitario SSA; farmacia minorista nacional "
"raspadura o abrasión menor","antiséptico tópico","solución de superoxidación","Microdacyn Solución","solución en atomizador; seguir instrucciones del empaque","Venta libre en México (antiséptico con registro sanitario SSA; no requiere receta)","Hipersensibilidad al producto, ingestión o contacto ocular; no sustituye limpieza médica de lesiones extensas o contaminadas","NO","Fabricante Microdacyn México; registro sanitario SSA; farmacia minorista nacional "
"quemadura superficial menor","antiséptico en hidrogel","solución de superoxidación en hidrogel","Microdacyn Hydrogel","hidrogel tópico; seguir instrucciones del empaque","Venta libre en México (antiséptico con registro sanitario SSA; no requiere receta)","Hipersensibilidad al producto; no usar para retrasar valoración de quemaduras profundas, eléctricas, químicas o extensas","NO","Fabricante Microdacyn México; registro sanitario SSA "
"herida que no cierra o permanece abierta","antiséptico tópico","solución de superoxidación","Microdacyn Solución","solución en atomizador; seguir instrucciones del empaque","Venta libre en México (antiséptico con registro sanitario SSA; no requiere receta)","No usar como sustituto de valoración médica; una herida persistente puede asociarse con infección, mala circulación o diabetes","SI","Fabricante Microdacyn México; registro sanitario SSA "
"herida con pus, mal olor, fiebre, calor intenso o líneas rojas","antiséptico tópico","solución de superoxidación","Microdacyn Solución","solución en atomizador; seguir instrucciones del empaque","Venta libre en México (antiséptico con registro sanitario SSA; no requiere receta)","No retrasar atención médica; los signos descritos pueden indicar una infección que requiere tratamiento profesional","SI","Fabricante Microdacyn México; registro sanitario SSA "
"cortadura o raspadura menor","antiséptico yodado","povidona yodada","Isodine Solución","solución tópica; seguir instrucciones del empaque","Libre venta en México (farmacia, receta no obligatoria)","Alergia al yodo, enfermedad tiroidea, uso de litio, embarazo o lactancia sin orientación, recién nacidos, heridas profundas o áreas extensas","NO","Farmacia Benavides; fabricante Isodine; condición de venta: receta no obligatoria "
"quemadura leve que requiere antisepsia","antiséptico yodado","povidona yodada","Isodine Solución","solución tópica; seguir instrucciones del empaque","Libre venta en México (farmacia, receta no obligatoria)","Alergia al yodo, trastornos tiroideos, tratamiento con litio, embarazo o lactancia sin orientación; no aplicar extensamente o por tiempo prolongado","NO","Farmacia Benavides; fabricante Isodine; condición de venta: receta no obligatoria "
"pie de atleta leve con comezón y descamación","antimicótico tópico","clotrimazol","Canesten Crema","crema tópica; seguir instrucciones del empaque","Libre venta en México (OTC; registro SSA VI; no requiere receta)","Hipersensibilidad al clotrimazol, ojos, boca o mucosas; evitar durante el primer trimestre del embarazo y la lactancia según el empaque","NO","PLM; registro sanitario SSA VI; Ley General de Salud, artículo 226, fracción VI "
"tiña corporal superficial leve","antimicótico tópico","clotrimazol","Canesten Crema","crema tópica; seguir instrucciones del empaque","Libre venta en México (OTC; registro SSA VI; no requiere receta)","Hipersensibilidad al clotrimazol o excipientes; no usar en ojos o mucosas; consultar si la lesión se extiende o no mejora","NO","PLM; registro sanitario SSA VI; Ley General de Salud, artículo 226, fracción VI "
"hongos superficiales leves en la ingle","antimicótico tópico","clotrimazol","Canesten Crema","crema tópica; seguir instrucciones del empaque","Libre venta en México (OTC; registro SSA VI; no requiere receta)","Hipersensibilidad al clotrimazol; solo uso externo; evitar contacto con ojos y mucosas y suspender ante reacción alérgica","NO","PLM; registro sanitario SSA VI; Ley General de Salud, artículo 226, fracción VI "
"pie de atleta leve","antimicótico tópico","terbinafina","Lamisil Crema","crema tópica; seguir instrucciones del empaque","Libre venta en México (OTC; registro SSA VI; no requiere receta)","Hipersensibilidad a la terbinafina, embarazo o lactancia, menores de la edad indicada, ojos, boca, vagina o piel gravemente lesionada","NO","PLM; registro sanitario SSA VI; Ley General de Salud, artículo 226, fracción VI "
"tiña corporal o inguinal leve","antimicótico tópico","terbinafina","Lamisil Spray","solución tópica en atomizador; seguir instrucciones del empaque","Libre venta en México (OTC; registro SSA VI; no requiere receta)","Hipersensibilidad a la terbinafina, embarazo o lactancia, menores de la edad indicada; evitar cara, ojos, mucosas y heridas abiertas","NO","PLM; registro sanitario SSA VI; Ley General de Salud, artículo 226, fracción VI "
"hongos superficiales leves con comezón y enrojecimiento","antimicótico tópico","miconazol","Miconazol Alpharma","crema tópica; seguir instrucciones del empaque","Libre venta en México (OTC; registro SSA VI; no requiere receta)","Hipersensibilidad al miconazol, primer trimestre del embarazo, menores pequeños sin supervisión, ojos o mucosas; suspender si causa irritación","NO","PLM; registro sanitario SSA VI; farmacia mexicana "
"piel corporal muy seca, áspera o con comezón por resequedad","hidratante queratolítico y reparador de barrera","urea, factores naturales de hidratación y ceramida","Eucerin UreaRepair Plus","loción corporal; seguir instrucciones del empaque","Venta libre en México (dermocosmético; no requiere receta)","Hipersensibilidad a los componentes; evitar ojos, mucosas, piel abierta o infectada; puede producir ardor sobre grietas profundas","NO","Fabricante Eucerin México; referencia dermatológica del producto "
"piel seca y sensible con tirantez o comezón","hidratante y reparador de barrera","urea, pantenol, vitamina E y glicerina","ISDIN Ureadin Cream 10","crema tópica; seguir instrucciones del empaque","Venta libre en México (dermocosmético; no requiere receta)","Hipersensibilidad a los componentes; evitar ojos, mucosas, heridas abiertas e infecciones activas; suspender ante irritación intensa","NO","Fabricante ISDIN México; ficha de producto dermatológico "
"resequedad corporal con descamación leve","hidratante y reparador de barrera","urea","ISDIN Ureadin Lotion10","loción corporal; seguir instrucciones del empaque","Venta libre en México (dermocosmético; no requiere receta)","Hipersensibilidad a los componentes; no aplicar en heridas abiertas, piel infectada, ojos o mucosas","NO","Fabricante ISDIN México; catálogo dermatológico oficial "
"piel extremadamente seca, agrietada o irritada","emoliente oclusivo y reparador de barrera","petrolato, pantenol y glicerina","Eucerin Aquaphor Pomada Reparadora","pomada tópica; seguir instrucciones del empaque","Venta libre en México (dermocosmético; no requiere receta)","Hipersensibilidad a los componentes; no aplicar sobre heridas infectadas, húmedas o profundas sin valoración profesional","NO","Fabricante Eucerin México; ficha dermatológica oficial "
"irritación, resequedad o grietas superficiales","bálsamo reparador de barrera","pantenol y madecasósido","La Roche-Posay Cicaplast Baume B5+","bálsamo tópico; seguir instrucciones del empaque","Venta libre en México (dermocosmético; no requiere receta)","Hipersensibilidad a los componentes; evitar ojos, mucosas y heridas infectadas o profundas; no sustituye la atención de quemaduras graves","NO","Fabricante La Roche-Posay México; ficha dermatológica oficial "
